Type	Building	Room	OS	PCs	Macs	Software	Presentation	Ext.	SupportContact	Specialty	Hours	"Enter value ""1"" to add entry to ""Media Services Spaces"" Worksheet.  Leave blank to omit."	"Enter value ""1"" to add entry to ""Technology Lab Spaces""  Leave blank to omit."	"Enter value ""1"" to add entry to ""Classroom Technology"" worksheet.  Leave blank to omit."	blg	PCQty	MacQty
Classroom	B	50	Mac	0	1	Mac Standard Software	"DVD, VHS, Document Camera, Video Conferencing (B2 type)"		Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office via email to spiegelJ@newschool.edu)		Today's Classroom Schedule			1	B		
Express Stations	B	73	Mac	0	13	Mac Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing (remote support)			1		B		
Classroom	B	102	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B		
Classroom	B	258	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B		
Classroom	B	259	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B		
Classroom	B	260	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B		
Classroom	B	261	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B		
Classroom	B	262	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B		
Classroom	B	263	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B		
Conference Room	B	354C	Mac	0	1	Mac Standard Software	"DVD, VHS, Document Camera, Video Conferencing* (B1 type)"		Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office via email to spiegelJ@newschool.edu)			1			B		
Classroom Lang Science Lab	B	459	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	Flatbed Scanner				1	B		
Classroom	B	464	Mac	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector, Document Camera, Video Conferencing* (A4 type)"		Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office via email to spiegelJ@newschool.edu)		Today's Classroom Schedule	1		1	B		
Classroom	B	465	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B		
Event Space	B	500		0	0				Media Services 212.229.5300 x2310			1			B		
Express Stations	D	1000	Mac	0	6	Mac Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing			1		D		
Classroom	D	1001	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1002	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1003	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1004	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1005	SVGA Only	0	0		"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1006	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1008	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1009	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Express Stations	D	1100	Mac	0	6	Mac Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing			1		D		
Classroom	D	1101	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1102	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Event Space	D	1103	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		Media Services 212.229.5300 x2310	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule	1			D		
Classroom	D	1104	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1106	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1107	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1108	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Classroom	D	1109	Mac	0	21	Mac Standard Software + Avid	"Blu-ray, DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357	"B&W Printing ProColor Printing  Plotter Printing  3 flatbed scanners: D1109-04, 11, 17  SD Card Reader: D1109 01, 11, 21"	Todays Classroom Schedule			1	D		
Open Lab	D	1131	Windows PC	11	0	Windows PC Standard & Accessibility Software			IT Service Desk 212.229.5300 x4357	"B&W Printing ProColor Printing  Plotter Printing  2 flatbed scanners: D1131-05, 07  1 Large Format Scanner: D1131-01  ADF (Automatic Document Feeder) Text Scanner: D1131-11 (with scanning for the visually impaired)"	Lab Hours		1		D		
Classroom	D	1132	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Express Stations	D	1212	Mac	0	4	Mac Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing			1		D		
Conference Room	D	1613	Mac	0	1	Mac Express Software			Media Services 212.229.5300 x2310			1			D		
Conference Room	D	1618	Mac	0	1	Mac Express Software	"Aux HDMI & VGA connection, HD Projector, 2x 80"" LCD, Video Conferencing*"		Media Services 212.229.5300 x2310		Todays Classroom Schedule	1			D		
Conference Room	D	1621	SVGA & HDMI Only	0	0		"52in. LCD, SVGA & HDMI Only (B4 type)"		Media Services 212.229.5300 x2310						D		
Conference Room	D	1645	Windows PC	1	0	Windows PC Express Software			Media Services 212.229.5300 x2310			1			D		
 Classroom	D	1828	SVGA Only	0	0		"DVD, VHS, Cable Box (B1 type)"		Media Services 212.229.5300 x2310	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D		
Conference Room 	D	501	SVGA Only	0	0		"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357			1			D		
Classroom	D	706	Windows PC	24	0	Windows PC Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing  Drafting Tables	Today's Classroom Schedule			1	D		
Classroom	D	605	Mac	0	20	Mac Standard Software	"HD Projector, (2) Large Flat Screen Displays"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing Photo Printing (Photo Dept. Only)	Todays Classroom Schedule	1			D		
Classroom	D	607	Mac	0	20	Mac Standard Software	"HD Projector, (8) Large Flat Screen Displays, Any station to any display"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D		
Classroom	D	602	Mac	0	20	Mac Standard Software	"(2) HD Projector, (2) Large Flat Screen Displays"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D		
Conference Room	D	604	Mac	0	1	Mac Standard Software	"Flat Screen Display,  HDMI, VGA, Wireless Video Connection"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 					D		
Conference Room	D	608	Mac	0	1	Mac Standard Software	"Flat Screen Display,  HDMI, VGA, Wireless Video Connection"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 					D		
Classroom	D	600	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  HDMI, VGA, Annotation"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D		
Classroom	D	601	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  HDMI, VGA, Annotation"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D		
Classroom	D	603	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  HDMI, VGA, Annotation"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D		
Classroom	D	609	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  HDMI, VGA, Annotation, LIghting Grid"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D		
Classroom	D	610	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  HDMI, VGA, Annotation, Lighting Grid"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D		
Classroom	D	611	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  4K Flat Panel Display,  7.1 Surround Sound, HDMI, VGA, Annotation"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D		
Classroom	D	701	Windows PC	20	0	Windows PC Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule				D		
Classroom	D	703	Mac 	20	0	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing Photo Printing  (Photo Dpt. Only)	Today's Classroom Schedule				D		
Classroom	D	704	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	705	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	706	Windows PC	24	0	Windows PC Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing  Drafting Tables	Today's Classroom Schedule			1	D		
Open Lab	D	707	Windows PC	3	0	Windows PC Standard Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing  3 Large Format Scanners: D707-01 through 03	Lab Hours		1		D		
Classroom	D	708	Windows PC	24	0	Windows PC Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing  Drafting Tables	Today's Classroom Schedule			1	D		
Conference Room	D	709	SVGA Only	0	0		"DVD, VHS (B1 type)"		Media Services 212.229.5300 x2310			1			D		
Express Stations	D	710	Windows PC	2	0	Windows PC Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing			1		D		
Classroom	D	734	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Conference Room	D	805	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD"		IT Service Desk 212.229.5300 x4357			1		1	D		
Conference Room	D	808	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD"		IT Service Desk 212.229.5300 x4357						D		
Conference Room	D	809	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD"		IT Service Desk 212.229.5300 x4357						D		
Conference Room	D	819	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD"		IT Service Desk 212.229.5300 x4357						D		
Express Stations	D	900	Mac	6	0	Mac Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing			1		D		
Classroom	D	901	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	902	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	903	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	904	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	906	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	908	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	909	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	910	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	911	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	912	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	D	913	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D		
Classroom	E	204	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		See Lab Staff	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	E		
Classroom	E	206	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		See Lab Staff	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	E		
Open Lab	E	208A	Windows PC & Mac	16	5	Mac & Windows PC Standard Software			See Lab Staff	"B&W Printing ProColor Printing  Plotter Printing  6 flatbed scanners: E208A-Scan01-04, E208A-11, & 15 1 Large Format Scanner: E208A-14  E209A-01 to 04: Universal Laser V-460 Contact your department for assistance. AT supports the computers"	Lab Hours		1		E		
Open Lab	E	300A	Windows PC	14	0	Windows PC Standard Software			See Lab Staff	"B&W Printing ProColor Printing  Plotter Printing  3 flatbed scanners: E300A-02, 08, & 14 1 Large Format Scanner: E300A-01"	Lab Hours		1		E		
Classroom	E	302	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	E		
Classroom	E	307	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	E		
Classroom	E	404	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	E		
Classroom	E	502	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	E		
Classroom	E	503	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	E		
Conference Room	G	319	SVGA Only	0	0		"65"" LCD, Aux HDMI & Component connection"		Media Services 212.229.5300 x2310			1			G		
Conference Room	G	529	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		Media Services 212.229.5300 x2310			1			G		
Conference Room	G	619	"SVGA, HDMI Only"	0	0		"60in. LCD, SVGA & HDMI Only (B4 type)"		Media Services 212.229.5300 x2310			1			G		
Conference Room	G	703	"SVGA, HDMI Only"	0	0		SVGA & HDMI Only (B4 type)		Media Services 212.229.5300 x2310			1			G		
Conference Room	G	800	Mac	0	1	Mac Standard Software	Laptop HDMI and VGA Connections		Media Services 212.229.5300 x2310			1			G		
Conference Room	G	801		0	0		Laptop HDMI and VGA Connections		Media Services 212.229.5300 x2310			1			G		
Classroom	H	321	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	H		
Express Stations	H	500	Windows PC	1	0	Windows PC Express Software			IT Service Desk 212.229.5300 x4357				1		H		
Express Stations	H	600	Windows PC	1	0	Windows PC Express Software			IT Service Desk 212.229.5300 x4357				1		H		
Express Stations	H	700	Windows PC	1	0	Windows PC Express Software			IT Service Desk 212.229.5300 x4357				1		H		
Classroom	H	713	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Todays Classroom Schedule			1	H		
Event Space	i	202		0	0				Media Services 212.229.5300 x2310			1			i		
Event Space	i	205	SVGA Only	0	0		"42"" Plasma monitor, VHS, Cable Box"		Media Services 212.229.5300 x2310			1			i		
Classroom  Jazz Dept. Supported	i	545	Mac (No Projection)	0	1	Mac Standard Software	"CD player, Audio cassette, Aux audio connection, Mic mixer (A3 type)"		Jazz Dept. Staff 212.229.5896 x4574 or IT Service Desk 212.229.5300 x4357 (after Jazz Dept. hours)		Todays Classroom Schedule			1	i		
Classroom  Jazz Dept. Supported	i	613	Windows PC	1	0	Windows PC Standard Software	"DVD, VHS (B2 type)"		Jazz Dept. Staff 212.229.5896 x4574 or IT Service Desk 212.229.5300 x4357 (after Jazz Dept. hours)		Today's Classroom Schedule			1	i		
Classroom  Jazz Dept. Supported	i	618	Mac	0	1	Mac Standard Software	"DVD, Blu-ray, CD player, Audio cassette, Aux HDMI & DVI connection, Mic mixer (A3 type)"		Jazz Dept. Staff 212.229.5896 x4574 or IT Service Desk 212.229.5300 x4357 (after Jazz Dept. hours)		Todays Classroom Schedule			1	i		
Classroom  Jazz Dept. Supported	i	624	Mac	0	1	Mac Standard Software	"DVD, Blu-ray, CD player, Audio cassette, Aux HDMI & DVI connection, Mic mixer (A3 type)"		Jazz Dept. Staff 212.229.5896 x4574 or IT Service Desk 212.229.5300 x4357 (after Jazz Dept. hours)		Todays Classroom Schedule			1	i		
Classroom  Jazz Dept. Supported	i	645	Mac	0	1	Mac Standard Software	"DVD, Blu-ray, Audio cassette, Aux HDMI & DVI connection, Piano lab controller (A3 type)"		Jazz Dept. Staff 212.229.5896 x4574 or IT Service Desk 212.229.5300 x4357 (after Jazz Dept. hours)		Todays Classroom Schedule			1	i		
Express Stations	i	801	Mac	0	1	Mac Express Software			See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing	Lab Hours		1		i		
Help Kiosks	i	801	Mac	0	1	Mac Help Kiosk Software			See Lab Staff	B&W Printing Color Printing ProColor Printing  Plotter Printing	Lab Hours		1		i		
Open Lab	i	802	Windows PC & Mac	25	80	"Windows PC Standard Software, Mac Standard Software + Avid, Advanced Audio Software"			AT Dispatch 212.229.5300 x4538	"B&W Printing Color Printing ProColor Printing  Plotter Printing  1 Imacon Drum Scanners: i802-12  11 Large Format Scanners: i802-10, 11, 13, 14, 16, 23, 24, 31, 32, 33, & 43  2 Flatbed & Transparency Scanners: i802-15 &35  1 Film and Slide Scanner: i802-34  1 Stop Motion Animation Stand: i802-42 via FrameThief  3 flatbed scanners: i802-01, 02, 03  ProTools LE via Mbox 2 Pro and MIDI keyboard with sustain pedal: i802-97 thru 104  "	Lab Hours		1		i		
Classroom	i	803	Mac	0	15	Mac Standard Software + Pro Tools & Avid	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	"B&W Printing Color Printing ProColor Printing  Plotter Printing  3 flatbed scanners: i803-06, 10, 15  SD Card Reader: i803-01, 04, 09"	Todays Classroom Schedule			1	i		
Classroom	i	804	Mac	0	21	Mac Standard Software	"Blu-ray, DVD, VHS, 46? LCD, Multi-format Card Reader, HD Projector (B5 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	i		
Classroom	i	805	Mac	0	15	Mac Advanced Audio Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, Specialty Audio Peripherals, HD Projector (A4 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing ProColor Printing  Plotter Printing  Pro Tools LE via Mbox 2 Pro and MIDI keyboard with sustain pedal  FMR RNP 2 Channel Preamp	Todays Classroom Schedule			1	i		
Classroom	i	806	Mac	0	13	Mac Advanced Audio Software + Avid	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, Specialty Audio Peripherals, HD Projector (A1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing ProColor Printing  Plotter Printing  Pro Tools LE via Mbox 2 Pro and MIDI keyboard with sustain pedal  FMR RNP 2 Channel Preamp	Todays Classroom Schedule			1	i		
