Category,Software,Version,Windows PC Express Software,PC Standard 1,Windows PC Standard Software,PC Satellite Lab,Mac Express Software,Mac Help Kiosk Software,Mac Standard 1,Mac Standard Software,Mac Standard Software with Pro Tools,Mac Advanced Audio Software,Audio Suite Software,SatelliteLab
Multimedia,Adobe Edge Animate,CC 2015,,X,X,X,,,X,X,X,X,X,X
Multimedia,Adobe Edge Code,CC 2015,,X,X,X,,,X,X,X,X,X, 
Multimedia,Adobe Edge Reflow,CC 2015,,X,X,X,,,X,X,X,X,X,X
Multimedia,Adobe ExtendScript Toolkit,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe Extension Manager,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe Illustrator,CC 2015, ,X,X,X, , ,X,X,X,X,X,X
Multimedia,Adobe InCopy,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe InDesign ,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe Lightroom,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe Media Encoder,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe Muse ,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe Photoshop,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe Prelude,CC 2015,,X,X,X,,,X,X,X,X,X, 
Multimedia, Adobe Premiere Pro,CC 2015,,X,X,X,,,X,X,X,X,X, 
Multimedia,Adobe Scout,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe Speedgrade,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Universal Type Client ,6.1, ,X,X, , , ,X,X,X,X,X, 
Multimedia,Final Draft,9.0.8,X,X,X,X,X,,X,X,X,X,X, 
Multimedia,TextWrangler ,5.0.2, , , , ,X,X,X,X,X,X,X, 
Multimedia,FontLab Studio ,5.1.5, , , , , , ,X,X,X,X,X, 
Multimedia,Snapz Pro X,2.5.4, , , , , , , , , , , , 
Multimedia,Audacity ,2.1.2,,X,,X,,,X,X,X,X,X, 
Multimedia,MPEG Streamclip,1.9.2 / 1.2,,X, ,X,,,X,X,X,X,X, 
Multimedia,Finale Notepad ,2012,,X,,X,X,X,X,X,X,X,X,
Multimedia,Photos,1.5, , , , , , ,X,X,X,X,X,
Multimedia,Numbers,3.2.2, , , , , , ,X,X,X,X,X, 
Multimedia,Pages,5.5.3, , , , , , ,X,X,X,X,X,
Multimedia,iMovie ,10.1.2, , , , , , ,X,X,X,X,X, 
Multimedia,GarageBand,10.1.2, , , , , , ,X,X,X,X,X, 
Multimedia,Keynote,6.6.2, , , , , , ,,,,,, 
Programming,Git,2.9.0,,,X,,,,,,,,, 
Programming,Processing,3.1.1, ,X,X,X, , ,X,X,X,X,X,
Programming,Arduino + USB board driver for Mac,1.6.9, ,X,X,X, , ,X,X,X,X,X,
Programming,X-code,7.3.1,,,,,,,,X,X,X,X,
Programming,iOS Dev (part of X-code),7.3.1, , , , , , ,X,X,X,X,X,
Statistics and Research,ArcGIS,10.4.1, ,X,X,X, , , , , , , ,
Statistics and Research,ArcCatalog,10.4.1, ,X,X,X, , , , , , , , 
Statistics and Research,ArcGlobe,10.4.1, ,X,X,X, , , , , , , , 
Statistics and Research,ArcMap,10.4.1, ,X,X,X, , , , , , , , 
Statistics and Research,ArcReader,10.4.1, ,X,X,X, , , , , , , ,X
Statistics and Research,ArcScene,10.4.1, ,X,X,X, , , , , , , ,X
Statistics and Research,ArcGIS Open Street Map Editor,10.4.1, ,X,X,X,,,,,,, ,X
Statistics and Research,CityEngine,10.4.1, ,X,X,X, , , , , , , ,X
Statistics and Research,Infoshare Online,Online,,,X,,,,,,,,,X
Statistics and Research,Eviews,9.5, ,X,X,X, , , , , , , , 
Statistics and Research,R,3.3.1,,,X,,,,,,,,,X
Statistics and Research,R Studio,0.99.902,,,X,,,,,,,,,X
Statistics and Research,OpenRefine,2.6-rc2,,,X,,,,,,,,,X
Statistics and Research,SPSS,24, ,X,X,X, , , , , , , ,X
Statistics and Research,Mathematica,10.4.1, ,X,X, , , , , , , , ,X
Statistics and Research,Stata SE,14, ,X,X,X, , , , , , , , 
Statistics and Research,Matlab,R2016a, ,X,X,X, , , , , , , ,X
Statistics and Research,Qualtrics,Online, ,X,X,X, , , , , , , , 
Advanced Video,Avid Media,8.6, , , , , , , ,X,X,X,X, 
Advanced Video,Sorenson Squeeze,8.6, , , , , , , ,X,X,X,X, 
Advanced Video,Avid FX,8.6, , , , , , , ,X,X,X,X, 
Advanced Audio,Pro Tools,12.1, , , , , , , , ,X,X,X, 
Advanced Audio,Pro Tools,12.1, , , , , , , , , ,X, , 
Advanced Audio,Pro Tools TDM,12.1, , , , , , , , , , ,X, 
Advanced Audio,Pro Tools Digi G003,12.1, , , , , , , , , , ,X,
Advanced Audio,Waves NPP,9.3, , , , , , , , , ,X,X, 
Advanced Audio,Renaissance Maxx,9.3, , , , , , , , , ,X,X, 
Advanced Audio,Restoration Bundle,9.3, , , , , , , , , ,X,X, 
Advanced Audio,Response libraries for Waves IR-L ,9.3,,,,,,,,,,X,X, 
Advanced Audio,C4 multiband,9.3,,,,,,,,,,X,X, 
Advanced Audio,Reason,8.3d92, , , , , , , , , ,X,X, 
Advanced Audio,Recycle for Reason,2.2.4,,,,,,,,,,X,X, 
Advanced Audio,Max/MSP,7.0.5, , , , , , , , , , ,X, 
Advanced Audio,Finale ,2014, , , , , , , , , ,X,X,X
Advanced Audio,Sibelius,7.5.1 Mac, , , , , , , , , ,X,X, 
Advanced Audio,Logic Studio ,9.1.7, , , , , , , , , ,X,X, 
Advanced Audio,KOMPLETE,8,,,,,,,,,,X,X, 
Advanced Audio,Celemony Melodyne Editor,,,,,,,,,,,,X,X
Advanced Audio,Motu Digital Performer,9,,,,,,,,,,,X,X
Advanced Audio,Ableton Live Suite,9.2.1,,,,,,,,,,,X,X
Advanced Audio,Hollywood Sound Library,,,,,,,,,,,,X,X
Advanced Audio,REAPER,,,,,,,,,,,,X,X
Advanced Audio,SuperCollider,,,,,,,,,,,,X,X
Advanced Audio,Traktor2PRO,,,,,,,,,,,,X,X
Library Resources,Online Sheet Music,Win 8.3.4.0 / Mac 1.5.15b,X,X,X,X,X,X,X,X,X,X,X,X
Library Resources,Luna insight,Online,X,X,X,X,X,X,X,X,X,X,X,X
Library Resources,Artstor,Online,X,X,X,X,X,X,X,X,X,X,X,X
Library Resources,Artstor Offline Viewer,3.1 Win / 4.0 Mac,X,X,X,X,X,X,X,X,X,X,X,X
Utilities,Burn,2.5.1, , , , ,X,X,X,X,X,X,X, 
Utilities,StuffIt Expander,16.05,,,,,X,X,X,X,X,X,X, 
Utilities,CDBurnerXP,4.5.7,X,X,X,X, , , , , , , , 
Utilities,7-Zip,16.02,X,X,X,X, , , , , , , , 
Utilities,Notepad,Windows 7 w/ SP1,X,X,X,X, , , , , , , , 
Utilities,Notepad++,6.9.2,X,,X,,,,,,,,, 
Utilities,Command Prompt,Windows 7 w/ SP1,X,X,X,X, , , , , , , ,X
Utilities,Paint,Windows 7 w/ SP1,X,X,X,X, , , , , , , , 
Utilities,WordPad,Windows 7 w/ SP1,X,X,X,X, , , , , , , ,X
Utilities,Volume,Windows 7 w/ SP1,X,X,X,X, , , , , , , ,X
Utilities,Windows Explorer,Windows 7 w/ SP1,X,X,X,X, , , , , , , ,X
Utilities,EndPoint Protection,12.1.6 (12.1.RU6 MP4),X,X,X,X,X,X,X,X,X,X,X,X
Utilities,Disk Warrior,4.4, , , , , ,X, , , , , ,
Misc,VMWare Horizon Client,4.0.1,X,X,X,X,X,X,X,X,X,X,X,
Network Resources,Drop Box,N/A,X,X,X,X,X,X,X,X,X,X,X,
Network Resources,Manuals and Resources,N/A,X,X,X,X,X,X,X,X,X,X,X,
Network Resources,Secure Drop Box,N/A,X,X,X,X,X,X,X,X,X,X,X,
