Agencies,type,ENGAG_INDX_2011,ENGAG_INDX_2012,ENGAG_INDX_2013,ENGAG_INDX_2014,ENGAG_INDX_2015,ENGAG_LEAD_2011,ENGAG_LEAD_2012,ENGAG_LEAD_2013,ENGAG_LEAD_2014,ENGAG_LEAD_2015,ENGAG_SUPV_2011,ENGAG_SUPV_2012,ENGAG_SUPV_2013,ENGAG_SUPV_2014,ENGAG_SUPV_2015,ENGAG_WORK_2011,ENGAG_WORK_2012,ENGAG_WORK_2013,ENGAG_WORK_2014,ENGAG_WORK_2015,HCAAF_LEAD_2011,HCAAF_LEAD_2012,HCAAF_LEAD_2013,HCAAF_LEAD_2014,HCAAF_LEAD_2015,HCAAF_RSLT_2011,HCAAF_RSLT_2012,HCAAF_RSLT_2013,HCAAF_RSLT_2014,HCAAF_RSLT_2015,HCAAF_TLNT_2011,HCAAF_TLNT_2012,HCAAF_TLNT_2013,HCAAF_TLNT_2014,HCAAF_TLNT_2015,HCAAF_SATF_2011,HCAAF_SATF_2012,HCAAF_SATF_2013,HCAAF_SATF_2014,HCAAF_SATF_2015,NEWIQ_INDX_2011,NEWIQ_INDX_2012,NEWIQ_INDX_2013,NEWIQ_INDX_2014,NEWIQ_INDX_2015,NEWIQ_FAIR_2011,NEWIQ_FAIR_2012,NEWIQ_FAIR_2013,NEWIQ_FAIR_2014,NEWIQ_FAIR_2015,NEWIQ_OPEN_2011,NEWIQ_OPEN_2012,NEWIQ_OPEN_2013,NEWIQ_OPEN_2014,NEWIQ_OPEN_2015,NEWIQ_COOP_2011,NEWIQ_COOP_2012,NEWIQ_COOP_2013,NEWIQ_COOP_2014,NEWIQ_COOP_2015,NEWIQ_SPRT_2011,NEWIQ_SPRT_2012,NEWIQ_SPRT_2013,NEWIQ_SPRT_2014,NEWIQ_SPRT_2015,NEWIQ_EMPW_2011,NEWIQ_EMPW_2012,NEWIQ_EMPW_2013,NEWIQ_EMPW_2014,NEWIQ_EMPW_2015,GLOBL_SATF_2011,GLOBL_SATF_2012,GLOBL_SATF_2013,GLOBL_SATF_2014,GLOBL_SATF_2015,TotalEnrollment,TotalFedFund
Department of Justice,1,69,67,66,66,68,59,57,57,55,58,75,71,72,72,74,73,71,71,71,73,64,62,62,62,63,56,54,53,53,55,62,60,58,58,61,70,68,66,67,69,61,58,58,58,60,47,44,43,43,45,60,58,57,58,60,59,56,56,54,57,77,74,75,75,76,63,60,59,59,61,72,68,66,66,69,4851,30001.00
Department of Labor,1,64,64,62,64,67,54,55,52,53,57,70,70,69,71,73,68,68,66,67,70,61,60,59,60,63,53,53,51,53,55,54,55,52,53,57,66,65,62,64,66,56,56,55,56,59,45,45,42,45,46,54,54,52,54,56,53,53,51,52,56,76,75,75,77,78,55,54,52,53,56,63,61,57,60,64,4803,71791.00
Department of State,1,72,71,69,70,70,65,63,60,59,59,77,76,76,77,76,76,74,72,74,73,67,66,64,64,63,58,58,56,57,56,65,63,62,63,62,73,71,69,71,69,65,63,62,62,62,50,50,48,50,49,65,64,63,63,62,63,61,60,58,60,78,78,78,78,78,65,63,62,63,62,74,72,69,71,69,4140,28105.00
Department of the Interior,1,64,64,62,61,62,51,51,48,45,45,70,70,69,70,71,71,71,69,69,69,56,56,54,53,53,53,53,51,51,52,57,57,52,53,56,68,67,64,64,66,57,57,55,55,56,46,45,43,44,44,55,55,53,53,54,52,52,51,48,48,74,74,73,74,75,60,59,56,56,57,65,64,60,60,61,4092,12763.00
Department of the Treasury,1,70,69,67,66,66,61,60,57,53,54,77,76,76,76,76,73,73,70,69,69,66,65,63,61,61,59,57,55,55,54,63,61,56,54,54,70,67,63,63,62,63,62,60,60,59,52,51,48,49,48,63,61,58,58,57,61,61,59,56,56,80,79,79,79,79,61,60,56,55,55,70,66,59,60,58,3575,567418.00
Department of Transportation,1,63,64,65,64,66,48,50,52,49,52,70,72,74,74,75,69,71,69,68,70,57,59,60,59,61,49,51,51,51,53,57,59,57,57,59,68,69,67,65,67,56,57,58,58,59,42,43,42,44,45,53,53,54,56,57,52,54,57,57,58,75,76,79,79,79,55,58,57,57,59,63,66,63,62,64,3259,90609.00
Department of Veterans Affairs,1,65,62,63,61,61,54,50,51,47,47,67,65,67,66,67,73,70,71,69,69,59,56,57,54,55,52,49,49,48,49,60,57,58,56,56,68,64,65,63,64,57,54,55,53,53,44,41,42,41,41,56,52,53,52,52,53,50,51,48,48,71,69,70,69,70,59,56,56,55,55,64,59,59,57,57,2840,158039.00
Environmental Protection Agency,1,67,68,64,63,63,54,56,50,47,47,75,76,74,74,74,72,72,68,68,69,61,62,59,56,56,56,56,53,51,53,60,58,51,50,54,69,68,62,62,63,61,61,58,57,57,45,46,43,42,42,61,61,59,57,57,56,57,54,51,50,78,79,79,79,80,62,62,55,54,56,70,69,60,60,61,2674,7774.00
Equal Employment Opportunity Commission,1,65,67,65,65,67,55,56,54,53,56,70,72,71,70,72,71,71,70,71,73,60,61,59,59,61,55,54,51,52,55,56,55,52,54,57,68,67,64,67,69,57,57,55,56,58,45,44,40,41,44,57,57,54,56,58,53,52,52,52,54,75,77,75,75,76,57,57,56,57,58,64,64,59,61,64,2622,366.00
Federal Communications Commission,1,69,69,73,70,66,61,60,66,61,56,78,78,81,77,75,69,71,73,72,67,67,65,71,66,61,59,58,60,57,56,61,61,63,62,58,67,66,68,66,64,63,62,65,60,59,49,47,50,47,46,63,61,64,59,59,64,62,66,58,56,79,81,83,79,78,60,61,62,60,57,69,67,71,67,61,2574,10332.00
Federal Energy Regulatory Commission,1,71,70,73,74,76,65,63,66,67,70,78,78,80,81,84,71,69,72,73,75,68,67,70,72,73,60,58,60,62,65,65,65,65,68,71,67,65,67,69,71,64,62,65,66,69,51,50,51,54,58,63,60,63,64,68,65,61,66,64,67,82,81,82,84,86,61,59,63,65,68,70,68,70,71,74,2563,327.00
Federal Trade Commission,1,76,74,75,76,78,72,70,70,73,75,78,76,78,79,80,77,77,77,76,80,73,72,72,73,75,66,66,64,65,65,70,70,69,70,72,71,70,68,69,70,68,67,67,68,70,56,57,54,56,57,66,65,66,67,69,69,63,66,67,69,82,80,81,81,83,70,69,68,70,73,72,70,68,69,71,2542,174.00
General Services Administration,1,71,69,69,68,69,62,59,58,56,56,76,75,76,77,78,74,74,72,70,71,67,66,64,63,64,59,58,55,55,57,65,64,59,60,63,70,70,67,66,67,64,64,62,62,62,50,49,47,47,49,62,61,59,59,60,65,65,64,62,61,79,78,80,81,81,65,64,61,59,61,73,71,65,65,66,2282,256.00
National Aeronautics and Space Administration,1,75,76,77,77,78,68,68,70,68,69,82,82,83,84,85,77,79,79,80,81,72,73,73,73,74,64,65,64,65,67,70,71,70,72,73,74,74,73,74,75,71,72,73,73,74,57,58,58,59,61,73,74,74,75,76,72,72,73,72,72,83,84,85,85,86,71,72,73,74,75,75,74,74,74,76,2271,17447.00
National Archives and Records Administration,1,62,59,60,59,63,47,44,45,43,47,69,68,70,69,74,68,66,65,65,69,55,53,54,53,57,53,49,49,49,53,55,51,48,49,54,63,59,59,59,63,54,51,51,52,56,46,43,41,42,45,50,48,47,49,53,44,44,45,44,49,73,73,74,75,79,54,50,49,49,54,55,50,49,49,53,2255,355.00
National Credit Union Administration,1,68,73,70,72,72,57,65,61,63,64,75,79,77,79,79,71,75,71,74,73,61,67,63,65,67,62,62,58,63,63,66,68,66,68,67,71,72,66,70,71,63,67,64,66,67,52,56,53,55,55,66,69,64,67,68,61,64,61,64,65,77,81,80,82,83,60,65,61,64,63,69,71,61,68,72,2172,1.00
National Labor Relations Board,1,66,65,64,64,68,57,55,53,53,59,71,71,71,72,74,71,70,67,67,71,62,59,59,59,62,52,51,51,51,52,60,60,58,56,58,67,64,63,64,68,54,53,53,53,56,41,41,42,43,43,52,51,53,53,57,48,48,47,46,51,71,72,72,72,75,57,54,53,52,55,65,59,58,58,63,2098,278.00
National Science Foundation,1,67,65,68,69,70,56,52,55,57,58,72,72,75,76,76,74,71,73,74,76,59,57,60,62,63,58,56,56,59,60,61,60,60,64,65,68,64,65,67,68,61,59,60,62,63,46,45,43,47,48,61,56,59,60,61,60,57,57,59,62,73,75,79,79,80,63,60,61,63,65,69,63,62,66,67,1946,7352.00
Nuclear Regulatory Commission,1,79,76,75,75,75,74,69,68,66,66,83,81,81,82,82,79,77,76,76,77,78,74,73,72,73,68,64,62,62,62,76,72,68,70,72,77,73,71,72,72,74,70,68,69,69,61,55,54,52,54,74,71,69,70,69,74,70,68,69,69,86,84,84,85,86,74,70,68,68,69,80,75,72,73,74,1871,123.00
Office of Management and Budget,1,63,73,68,73,78,50,62,59,63,69,71,82,78,83,86,67,75,68,73,77,51,61,57,60,65,51,60,54,60,62,58,65,53,61,69,65,72,61,69,73,56,66,61,66,69,51,56,51,57,59,56,64,60,63,64,51,63,59,63,68,67,82,78,81,82,56,66,57,64,70,60,71,56,66,75,1463,93.00
Office of Personnel Management,1,72,71,72,72,71,63,62,63,61,59,78,77,78,81,80,73,73,74,74,73,66,65,66,65,64,60,59,60,61,60,63,61,61,60,62,71,69,68,69,69,63,63,64,64,64,52,52,51,54,53,61,61,62,62,62,61,60,61,61,58,82,81,83,85,84,61,61,62,60,60,71,69,69,69,69,1178,95969.00
Pension Benefit Guaranty Corporation,1,69,67,64,65,69,58,57,51,51,57,76,72,70,72,76,75,73,71,73,75,65,63,59,61,63,61,57,54,56,57,67,63,60,63,64,69,67,62,64,67,64,62,59,61,62,51,48,44,47,47,64,60,58,60,61,62,61,59,61,59,80,78,75,78,80,64,60,57,60,61,67,63,58,60,63,1111,7869.00
Railroad Retirement Board,1,66,68,69,68,69,57,58,60,59,60,70,72,72,72,73,71,73,74,73,74,61,63,64,64,64,55,56,56,55,57,55,58,58,58,59,68,69,68,67,69,59,59,61,60,61,49,48,49,49,52,56,57,57,57,60,56,57,58,55,57,74,76,77,77,78,59,59,62,59,60,68,68,68,67,69,1032,7187.00
Securities and Exchange Commission,1,61,62,62,66,68,47,49,49,55,57,70,72,71,74,76,65,65,67,69,71,55,56,57,61,63,47,48,49,52,55,51,57,60,63,66,61,62,63,65,67,50,53,54,58,60,34,37,38,41,44,49,51,53,58,60,45,50,51,54,56,74,76,77,79,80,50,51,52,56,59,61,59,60,65,68,701,-915.00
Small Business Administration,1,65,64,65,62,60,56,54,54,48,46,70,70,70,69,68,69,70,70,69,67,61,60,60,58,55,54,53,54,53,50,53,52,52,50,48,67,66,66,65,62,58,57,58,56,53,46,44,44,45,42,55,53,54,53,50,56,56,57,51,48,75,75,76,76,74,56,56,57,55,52,61,60,60,57,53,679,864.00
Social Security Administration,1,72,69,67,66,68,66,62,59,57,60,73,71,70,71,73,76,73,71,71,73,69,65,62,62,65,56,52,50,50,53,62,59,55,57,59,72,68,66,66,68,63,60,58,58,60,48,45,43,42,46,61,57,54,56,59,67,62,59,58,61,78,75,75,77,78,64,59,57,57,58,73,69,65,66,69,673,7180.00
U.S. Agency for International Development,1,65,67,66,64,67,56,59,54,51,54,72,74,74,73,76,67,69,69,67,70,60,62,60,57,60,53,53,51,51,52,58,60,58,57,60,66,66,65,63,66,58,60,59,58,60,45,47,45,45,47,61,64,61,59,62,56,60,57,55,58,71,74,74,73,76,56,57,56,55,58,63,62,60,59,62,177,1370.00
