Banner ID,Banner Account Description,MyDay ID,MyDay Description,Related Revenue Category ID,Related Revenue Category,Related Spend Category ID,Related Spend Category,Related Expense Item
14250, Schwarb operating money market,1400,Investments,null,null,null,null,null
14251,Schwab Federal Funds Operating,1400,Investments,null,null,null,null,null
14252,American Securities Partners VI LP,1400,Investments,null,null,null,null,null
14260,Charles Schwab Money Market,1400,Investments,null,null,null,null,null
14290,SEG Blackwall Offshore Fd Ltd Equit,1400,Investments,null,null,null,null,null
14298,Morgan Stanley Smith Barney:Evans,1400,Investments,null,null,null,null,null
14370,Wintergreen Partners Offshore Fund,1400,Investments,null,null,null,null,null
14380,NYC Media lab project,1401,Investments - other,null,null,null,null,null
14390,Endowment interest receivable,1402,Accrued interest receivable,null,null,null,null,null
14391,Endowment trade in transit,1403,Endowment trade in transit,null,null,null,null,null
14450,Donated securities,1404,Investments - donated securities,null,null,null,null,null
14760,Real estate,1405,Investments - real estate,null,null,null,null,null
14780,Unrealized gain principal adjustmnt,1406,Investments - unrealized gains and losses,null,null,null,null,null
15000,Land,1703,Land,null,null,SC119,Land,null
15002,Air Rights,1704,Air Rights,null,null,SC005,Air rights,null
15010,Buildings,1700,Buildings,null,null,SC018,Buildings,null
15020,Equipment,1701,"Furniture, fixtures, and equipment",null,null,null,null,null
15040,Accumulated depreciation,null,null,null,null,null,null,null
15070,Construction in progress,1710,Construction in progress,null,null,null,null,null
15100,Leasehold improvements,1702,Leasehold improvements,null,null,SC121,Leasehold improvements,null
15210,Accum Deprec - Buildings,1750,Accumulated depreciation - buildings,null,null,null,null,null
15220,Accum Deprec - Equipment,1751,"Accumulated depreciation - furniture, fixtures and equipment",null,null,null,null,null
15295,Accum Deprec - L Improvemts,1752,Accumulated depreciation - leasehold improvements,null,null,null,null,null
16020,Debt service fund,1600,Debt service fund,null,null,null,null,null
16050,Construction Fund,1601,Debt construction fund,null,null,null,null,null
16051,Market value adjustment,1602,Debt market value adjustment,null,null,null,null,null
18000,Split interest real estate,1407,Investments - split interest,null,null,null,null,null
18010,Split interest agreements receivbl.,1408,Investments - split interest receivable,null,null,null,null,null
20000,Accounts payable accrual,2000,Accounts payable accrual,null,null,null,null,null
20040,Student refunds clearing,2001,Student refunds clearing payable,null,null,null,null,null
20050,Asset Retirement Liability,2002,Asset retirement liability payable,null,null,null,null,null
20060,Accounts payable vendors,2003,Accounts payable,null,null,null,null,null
20062,Accounts payable Fupload clearing,2003,Accounts payable,null,null,SC215,Accounts payable Fupload clearing,null
20063,Concur direct deposit clearing,2004,Concur direct deposit clearing,null,null,null,null,null
20064,Concur credit card clearing,2005,Concur credit card clearing,null,null,null,null,null
20065,Concur check payment clearing,2006,Employee expense payable,null,null,null,null,null
20070,Accrual FAS 106 post-retire liablty,2007,Accrual FAS106 post-retirement liability,null,null,null,null,null
20080,Accrued interest payable,2008,Accrued interest payable,null,null,null,null,null
20100,Accrued payroll,2009,Accrued Payroll,null,null,null,null,null
20126,Perkins ECSI Clearing Account,2010,Clearing account Perkins,null,null,null,null,null
20127,Perkins ECSI Suspense Account,2011,Suspense account Perkins,null,null,null,null,null
20140,Vacation Accrual,2012,Vacation Accrual,null,null,null,null,null
20190,Rental security deposits payable,2013,Rental security deposits payable,null,null,null,null,null
20230,Nonresident alien withholding,2015,Nonresident alien tax withholding,null,null,null,null,null
20240,Rent payable SFAS 13,2016,Rent lease payable FAS13,null,null,null,null,null
20252,Alumni giving clearing,2065,Alumni giving clearing,null,null,null,null,null
20253,Starrez Summer Clearing,2017,Starrez summer revenue clearing,null,null,null,null,null
20254,Starrez Clearing,2018,Starrez deposit clearing,null,null,null,null,null
20256,Deposit payable admissions,2019,Deposit payable admissions,null,null,null,null,null
20257,Marketplace deposit clearing,2020,Marketplace deposit clearing,null,null,null,null,null
20262,Prior year conversion clearing,2021,Student credit balances,null,null,null,null,null
20270,Student credit balances,2021,Student credit balances,null,null,null,null,null
20271,Student loan clearing,2022,Student loan clearing,null,null,null,null,null
20275,Unclaimed checks,2023,Escheatment - Accounts payable,null,null,null,null,null
20276,Unclaimed Payroll,2024,Escheatment - payroll,null,null,null,null,null
20284,Admissions deposit payable,2025,Student admission deposit payable,null,null,null,null,null
20285,Contracts clearing,2014,Unapplied student payments,null,null,null,null,null
20286,Third party clearing,2014,Unapplied student payments,null,null,null,null,null
20288,Unapplied admissions deposits,2014,Unapplied student payments,null,null,null,null,null
20289,Unapplied exemptions,2014,Unapplied student payments,null,null,null,null,null
20290,Unapplied financial aid,2014,Unapplied student payments,null,null,null,null,null
20291,Unapplied payments,2014,Unapplied student payments,null,null,null,null,null
20292,Unapplied security deposits,2014,Unapplied student payments,null,null,null,null,null
20293,Unapplied loan proceed returns,2014,Unapplied student payments,null,null,null,null,null
20294,Payment plan clearing,2014,Unapplied student payments,null,null,null,null,null
20295,Unapplied contract payments,2014,Unapplied student payments,null,null,null,null,null
20301,Loan return clearing,2026,Student loan return clearing,null,null,null,null,null
20303,Sales tax payable,2027,Sales tax payable,null,null,null,null,null
20305,Suspense contributions,2028,Contributions suspense,null,null,null,null,null
20502,Payroll Clearing,2066,Payroll Clearing,null,null,null,null,null
20503,Medical insurance,2029,Employee medical insurance,null,null,null,null,null
20504,Dental insurance,2030,Employee dental insurance,null,null,null,null,null
20505,Deferred comp plan 457(b) payable,2039,Deferred comp plan 457(b) liability,null,null,null,null,null
20506,Deferred comp plan 457(f) payable,2031,Deferred compensation plan 457 (f) payable,null,null,null,null,null
20507,FICA,2032,FICA tax withholding,null,null,null,null,null
20508,Life insurance,2033,Employee life insurance,null,null,null,null,null
20509,Long term disability insurance,2034,Long term disability insurance,null,null,null,null,null
20512,Short term disability insurance,2035,Short term disability insurance,null,null,null,null,null
20513,457(f) Executive retention,2036,Executive retention 457(f),null,null,null,null,null
20601,TIAA-CREF EE/ER Contributions,2037,TIAA-CREF EE/ER contributions,null,null,null,null,null
20606,Supplemental life,2038,Supplemental life,null,null,null,null,null
20609,Deferred comp plan 457(b) liability,2039,Deferred comp plan 457(b) liability,null,null,null,null,null
20610,Credit Union deduction,2040,Credit union deduction,null,null,null,null,null
20611,Union dues Local 1205,2041,Union dues Local 1205,null,null,null,null,null
20613,Union dues Local 32BJ,2042,Union dues Local 32BJ,null,null,null,null,null
20614,Union dues Local 802,2043,Union dues Local 802,null,null,null,null,null
20615,Union dues Actors Equity,2044,Union dues Actors Equity,null,null,null,null,null
20616,HSA Oxford,2045,HSA Oxford,null,null,null,null,null
20617,Local 94 deduction,2046,Local 94 deduction,null,null,null,null,null
20618,Local 32BJ supplemental retirement,2047,Local 32BJ supplement retirement,null,null,null,null,null
20620,FSA salary reduction,2048,FSA salary reduction,null,null,null,null,null
20621,eTRAC salary reduction,2049,eTRAC salary reduction,null,null,null,null,null
20624,32BJ political action contributions,2050,32BJ political action contributions,null,null,null,null,null
20626,Federal taxes,2051,Federal taxes,null,null,null,null,null
20627,State of New York taxes,2052,State of New York taxes,null,null,null,null,null
20628,Local taxes,2053,Local taxes,null,null,null,null,null
20629,Garnishments,2054,Garnishments,null,null,SC200,Garnishment,null
20630,Executive gifts withheld,2055,Executive gifts withheld,null,null,null,null,null
20638,ACT-UAW Local 7902 V-CAP contrib.,2056,ACT-UAW Local 7902 V-CAP contribution,null,null,null,null,null
20639,ACT-UAW Local 7902 union dues,2057,ACT-UAW Local 7902 union dues,null,null,null,null,null
20640,ACT-UAW Non-Union members Beck fees,2058,ACT-UAW Non-Union members Beck fees,null,null,null,null,null
20641,Local 32BJ Security dues initiation,2042,Union dues Local 32BJ,null,null,null,null,null
20642,Local 32BJ Security medical pension,2060,Local 32BJ Security medical pension,null,null,null,null,null
20644,Local 1205 DRIVE,2061,Local 1205 DRIVE,null,null,null,null,null
21000,Student loan refundable,2300,Student loan refundable,null,null,null,null,null
22000,Deferred tuition revenue,2200,Deferred tuition revenue,null,null,null,null,null
23010,Deferred revenue miscellaneous,2201,Deferred revenue miscellaneous,null,null,null,null,null
23011,Deferred revenue housing,2202,Deferred revenue housing,null,null,null,null,null
23020,Gift certificate deferred revenue,2207,Gift certificate deferred revenue,null,null,null,null,null
23030,Deferred contract revenue,2203,Deferred contract revenue,null,null,null,null,null
23032,Agency fund liability,2204,Student Agency fund liability,null,null,null,null,null
23033,Direct loan prog revenue,2062,Direct loan program revenue,null,null,null,null,null
23200,Pell/ACG revenue,2063,Pell/ACG revenue,null,null,null,null,null
23201,Pell/ACG entitlement  payments,2064,Pell/ACG entitlement  payments,null,null,null,null,null
23300,TAP entitlement program receipts,2205,TAP entitlement program receipts,null,null,null,null,null
23301,TAP entitlement program payments,2206,TAP entitlement program payments,null,null,null,null,null
26000,Bonds payable,2400,Bonds payable,null,null,null,null,null
26010,Discount on bonds payable,2401,Discount on bonds payable,null,null,null,null,null
26011,Premium on bonds payable,2402,Premium on bonds payable,null,null,null,null,null
24000,Notes payable,2500,Notes payable,null,null,null,null,null
40000,Unrestricted fund balance,3100,Retained Earnings - Prior Year,null,null,null,null,null
40001,Appropriation & Appreciation,3100,Retained Earnings - Prior Year,null,null,null,null,null
43000,Temporarily restricted fund balance,3100,Retained Earnings - Prior Year,null,null,null,null,null
46000,Permanently restricted fund balance,3100,Retained Earnings - Prior Year,null,null,null,null,null
50000,Undergraduate tuition Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50010,Graduate tuition Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50020,Continuing education tuition Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50030,Maintenance of status fee Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50040,Private lessons tuition Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50060,Preparatory tuition Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50200,Undergraduate tuition Prior Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50210,Graduate tuition Prior Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50220,Continuing ed. tuition Prior Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50230,Maint. of status fee Prior Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50240,Private lessons tuition Prior Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50260,Preparatory tuition Prior Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50300,Undergraduate tuition Future Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50310,Graduate tuition Future Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50320,Continuing ed. tuition Future Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50330,Maint. of status fee Future Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50340,Private lesson tuition Future Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50360,Preparatory tuition Future Fall,4000,Tuition revenue,RC063,Tuition income,null,null,null
50400,Undergraduate tuition Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50410,Graduate tuition Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50420,Continuing eductn. tuition Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50430,Maintenance of status fee Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50440,Private lessons tuition Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50460,Preparatory tuition Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50500,Undergraduate tuition Prior Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50510,Graduate tuition Prior Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50520,Continuing ed tuition Prior Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50530,Maint. of status fee Prior Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50540,Prvt. lessons tuition Prior Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50560,Preparatory tuition Prior Spring,4000,Tuition revenue,RC063,Tuition income,null,null,null
50600,Undergraduate tuition PS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50610,Graduate tuition PS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50620,Continuing education tuition PS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50630,Maintenance of status fee PS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50640,Private lessons tuition PS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50660,Preparatory tuition PS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50800,Undergraduate tuition CS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50810,Graduate tuition CS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50820,Continuing education tuition CS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50830,Maintenance of status fee CS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50840,Private lessons tuition CS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50860,Preparatory tuition CS1,4000,Tuition revenue,RC063,Tuition income,null,null,null
50900,Deferred Tuition Revenue Adj,4000,Tuition revenue,RC063,Tuition income,null,null,null
51400,Prior year tuition revenue,4000,Tuition revenue,RC063,Tuition income,null,null,null
51500,Application fee,4100,Student fees,RC002,Application fees,null,null,null
51501,Dossier Fee,4100,Student fees,RC046,Other student fees,null,null,null
51510,Late registration fee,4100,Student fees,RC052,Registration fees,null,null,null
51520,Transcript fee,4100,Student fees,RC046,Other student fees,null,null,null
51530,Late graduation fee,4100,Student fees,RC046,Other student fees,null,null,null
51540,Forfeited deposit,4100,Student fees,RC046,Other student fees,null,null,null
51550,Other fee,4100,Student fees,RC046,Other student fees,null,null,null
51560,Facility access fee,4100,Student fees,RC046,Other student fees,null,null,null
51570,Box office / performance receipt,4721,Other income,RC004,Box Office/performance receipt,null,null,null
51580,Audition fee,4100,Student fees,RC046,Other student fees,null,null,null
51590,Audio studio recording fee,4100,Student fees,RC046,Other student fees,null,null,null
51600,Library fine,4100,Student fees,RC046,Other student fees,null,null,null
51610,Temporary fee,4100,Student fees,RC046,Other student fees,null,null,null
51620,Late payment fee,4100,Student fees,RC046,Other student fees,null,null,null
51630,Extended paymnt plan enrollment fee,4100,Student fees,RC015,Extended payment plan enrollment fee,null,null,null
51640,Participation fee,4100,Student fees,RC046,Other student fees,null,null,null
51641,Membership fee,4100,Student fees,RC041,Membership fees,null,null,null
51650,University services fee Fall,4100,Student fees,RC060,Student registration fees,null,null,null
51651,University services fee Spring,4100,Student fees,RC060,Student registration fees,null,null,null
51652,University services fee PS1,4100,Student fees,RC060,Student registration fees,null,null,null
51653,University services fee CS1,4100,Student fees,RC060,Student registration fees,null,null,null
51656,University services fee Prior Fall,4100,Student fees,RC060,Student registration fees,null,null,null
51657,University servcs fee Prior Spring,4100,Student fees,RC060,Student registration fees,null,null,null
51658,University srvcs. fee Future Fall,4100,Student fees,RC060,Student registration fees,null,null,null
51659,University srvcs fee Future Spring,4100,Student fees,RC060,Student registration fees,null,null,null
51660,Student senate fee Fall,4101,Student Senate fees,RC061,Student Senate fees,null,null,null
51661,Student senate fee Spring,4101,Student Senate fees,RC061,Student Senate fees,null,null,null
51662,Student senate fee Prior Fall,4101,Student Senate fees,RC061,Student Senate fees,null,null,null
51663,Student senate fee Prior Spring,4101,Student Senate fees,RC061,Student Senate fees,null,null,null
51664,Student senate fee Future Fall,4101,Student Senate fees,RC061,Student Senate fees,null,null,null
51665,Student senate fee Future Spring,4101,Student Senate fees,RC061,Student Senate fees,null,null,null
51667,Agency Fund revenue offset,4101,Student Senate fees,RC061,Student Senate fees,null,null,null
51668,Student senate fee PS,4101,Student Senate fees,RC061,Student Senate fees,null,null,null
51669,Student senate fee CS,4101,Student Senate fees,RC061,Student Senate fees,null,null,null
51670,Application fee Parsons,4100,Student fees,RC002,Application fees,null,null,null
51671,Application fee NSGS,4100,Student fees,RC002,Application fees,null,null,null
51672,Application fee NSSR,4100,Student fees,RC002,Application fees,null,null,null
51673,Application fee Lang,4100,Student fees,RC002,Application fees,null,null,null
51674,Application fee Milano,4100,Student fees,RC002,Application fees,null,null,null
51675,Application fee Mannes,4100,Student fees,RC002,Application fees,null,null,null
51676,Application fee Drama,4100,Student fees,RC002,Application fees,null,null,null
51677,Application fee Jazz,4100,Student fees,RC002,Application fees,null,null,null
51678,Application fee Guitar,4100,Student fees,RC002,Application fees,null,null,null
51710,Parsons academic supplies Fall,4100,Student fees,RC001,Academic supplies fees,null,null,null
51711,Parsons academic supplies Spring,4100,Student fees,RC001,Academic supplies fees,null,null,null
51712,Parsons academic supplies PS1,4100,Student fees,RC001,Academic supplies fees,null,null,null
51713,Parsons academic supplies CS1,4100,Student fees,RC001,Academic supplies fees,null,null,null
51716,Parsons acad. supplies Prior Fall,4100,Student fees,RC001,Academic supplies fees,null,null,null
51717,Parsons acad supplies Prior Spring,4100,Student fees,RC001,Academic supplies fees,null,null,null
51718,Parsons acad. supplies Future Fall,4100,Student fees,RC001,Academic supplies fees,null,null,null
51719,Parsons acad supplies Future Sprng,4100,Student fees,RC001,Academic supplies fees,null,null,null
51750,Registration fees CE/GC Fall,4100,Student fees,RC052,Registration fees,null,null,null
51751,Registration fees CE/GC Spring,4100,Student fees,RC052,Registration fees,null,null,null
51752,Registration fees CE/GC PS1,4100,Student fees,RC052,Registration fees,null,null,null
51753,Registration fees CE/GC CS1,4100,Student fees,RC052,Registration fees,null,null,null
51756,Registration fees Prior Fall,4100,Student fees,RC052,Registration fees,null,null,null
51757,Registration fees Prior Spring,4100,Student fees,RC052,Registration fees,null,null,null
51758,Registration fees Future Fall,4100,Student fees,RC052,Registration fees,null,null,null
51759,Registration fees Future Spring,4100,Student fees,RC052,Registration fees,null,null,null
51850,NSGS division fee Fall,4100,Student fees,RC046,Other student fees,null,null,null
51853,NSGS division fee Summer,4100,Student fees,RC046,Other student fees,null,null,null
51851,NSGS division fee Spring,4100,Student fees,RC046,Other student fees,null,null,null
51857,NSGS division fee Prior Spring,4100,Student fees,RC046,Other student fees,null,null,null
51866,Parsons division fee Prior Fall,4100,Student fees,RC046,Other student fees,null,null,null
52000,Scholarships,4200,Scholarships,RC057,Scholarships,null,null,null
52001,Maintenance,4200,Scholarships,RC030,HEOP stipend,null,null,null
52002,FS Scholarships transfer,4201,FS Scholarships transfer,RC057,Scholarships,null,null,null
52610,Fee allowances non-employees,4202,Fee allowances,RC016,Fee allowances,null,null,null
53000,Contributions,4300,Contributions revenue,RC022,Gift revenue,null,null,null
53020,Contrbutions Other,4300,Contributions revenue,RC022,Gift revenue,null,null,null
53030,Contributions pledge,4301,Pledge contributions revenue,RC048,Pledged gift revenue,null,null,null
53031,Contributions present value adj.,4302,Contributions present value adjustment,RC048,Pledged gift revenue,null,null,null
53032,Cntrbtns doubtful pledge allowance,4303,Contributions pledge allowance,RC048,Pledged gift revenue,null,null,null
53040,Contributions property,4300,Contributions revenue,RC067,Contributions revenue - Property,null,null,null
53050,Contributions stock,4300,Contributions revenue,RC022,Gift revenue,null,null,null
53070,Donor designated trnsfr prior year,4304,Donor Designation change - prior years,RC022,Gift revenue,null,null,null
53071,Resource Transfer,4305,Resource transfer,RC022,Gift revenue,null,null,null
53091,Sponsored research revenue,4306,Sponsored research revenue,RC022,Gift revenue,null,null,null
53092,Sponsored activity revenue,4307,Sponsored activity revenue,RC022,Gift revenue,null,null,null
53093,Pledge payment,4308,Pledge payment contribution revenue,RC022,Gift revenue,null,null,null
53095,Pledge payment stock,4308,Pledge payment contribution revenue,RC022,Gift revenue,null,null,null
53096,Pledge pay-Grants,4308,Pledge payment contribution revenue,RC022,Gift revenue,null,null,null
53097,Property pledge other,4300,Contributions revenue,RC067,Contributions revenue - Property,null,null,null
53100,FS Contributions transfer,4309,FS contributions transfer,RC022,Gift revenue,null,null,null
53200,New pledge allowance,4303,Contributions pledge allowance,RC048,Pledged gift revenue,null,null,null
54000,Federal grants,4400,Grants revenue - federal,RC024,Grants - federal,null,null,null
54002,Federal grants FS Transfer,4401,Federal grants FS transfer,RC018,Financial statement revenue transfer,null,null,null
55000,State grants,4500,Grants revenue - state and local,RC027,Grants - state,null,null,null
55100,Local grants,4500,Grants revenue - state and local,RC025,Grants - local,null,null,null
55101,Local grants FS Transfer,4760,Local grants FS Transfer,RC018,Financial statement revenue transfer,null,null,null
55130,Private grants,4300,Contributions Revenue,RC026,Grants - private,null,null,null
55140,FS grants transfer,4501,FS grants transfer,RC018,Financial statement revenue transfer,null,null,null
55200,Bundy grants,4500,Grants revenue - state and local,RC023,Grants - Bundy,null,null,null
56000,Interest and dividend income,4640,Investment income - endowment,RC037,Interest income,null,null,null
56010,Change in split interest,4740,Non-operating revenue,RC059,Split interest income,null,null,null
