Type	Building	Room	OS	PCs	Macs	Software	Presentation	Ext.	SupportContact	Specialty	Hours	"Enter value ""1"" to add entry to ""Media Services Spaces"" Worksheet.  Leave blank to omit."	"Enter value ""1"" to add entry to ""Technology Lab Spaces""  Leave blank to omit."	"Enter value ""1"" to add entry to ""Classroom Technology"" worksheet.  Leave blank to omit."	blg	PCQty	MacQty	locationCount	bldgAddress	bldgName
Classroom	A	517	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			16	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	518	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			17	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	601	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			18	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	602	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			19	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	615	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			20	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	617	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			21	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	618	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			22	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	701	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			23	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	702	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			24	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Event Space	A	712	SVGA Only	0	0				IT Service Desk 212.229.5300 x4357			1			A			25	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Experimental Classroom	A	713	Mac	0	1	Mac Standard Software	"Blu-ray & DVD from PC, Document Camera, Stream & Capture device"		Media Services 212.229.5300 x2310		Today's Classroom Schedule			1	A			26	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	715	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			27	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	716	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			28	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Conference Room	A	801	Mac (Mac & Windows PC OS)	0	1	Mac & Windows PC Standard Software	"Blu-ray, DVD, Aux HDMI & DVI connection, HD Projector, 2x 65"" LCD, Document Camera, Video Conferencing*"		Media Services 212.229.5300 x2310		Contact Provost's Office to schedule	1			A			29	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	B	50	Mac	0	1	Mac Standard Software	"DVD, VHS, Document Camera, Video Conferencing (B2 type)"		Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office via email to spiegelJ@newschool.edu)		Today's Classroom Schedule			1	B			1	65 West 11th Street	LANG
Express Stations	B	73	Mac	0	13	Mac Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing (remote support)			1		B			2	65 West 11th Street	LANG
Classroom	B	102	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B			3	65 West 11th Street	LANG
Classroom	B	258	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B			4	65 West 11th Street	LANG
Classroom	B	259	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B			5	65 West 11th Street	LANG
Classroom	B	260	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B			6	65 West 11th Street	LANG
Classroom	B	261	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B			7	65 West 11th Street	LANG
Classroom	B	262	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B			8	65 West 11th Street	LANG
Classroom	B	263	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B			9	65 West 11th Street	LANG
Conference Room	B	354C	Mac	0	1	Mac Standard Software	"DVD, VHS, Document Camera, Video Conferencing* (B1 type)"		Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office via email to spiegelJ@newschool.edu)			1			B			10	65 West 11th Street	LANG
Classroom Lang Science Lab	B	459	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	Flatbed Scanner				1	B			11	65 West 11th Street	LANG
Classroom	B	464	Mac	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector, Document Camera, Video Conferencing* (A4 type)"		Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office via email to spiegelJ@newschool.edu)		Today's Classroom Schedule	1		1	B			12	65 West 11th Street	LANG
Classroom	B	465	Mac	0	1	Mac Standard Software	"DVD, VHS (B2 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	B			13	65 West 11th Street	LANG
Event Space	B	500		0	0				Media Services 212.229.5300 x2310			1			B			14	65 West 11th Street	LANG
Express Stations	D	1000	Mac	0	6	Mac Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing			1		D			1	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1001	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			2	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1002	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			3	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1003	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			4	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1004	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			5	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1005	SVGA Only	0	0		"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			6	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1006	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			7	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1008	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			8	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1009	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			9	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Express Stations	D	1100	Mac	0	6	Mac Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing			1		D			10	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1101	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			11	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1102	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			12	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Event Space	D	1103	Mac	0	1	Mac Standard Software	"DVD, VHS (A1 type)"		Media Services 212.229.5300 x2310	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule	1			D			13	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1104	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			14	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1106	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			15	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1107	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			16	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1108	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			17	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1109	Mac	0	21	Mac Standard Software + Avid	"Blu-ray, DVD, VHS (A1 type)"		IT Service Desk 212.229.5300 x4357	"B&W Printing ProColor Printing  Plotter Printing  3 flatbed scanners: D1109-04, 11, 17  SD Card Reader: D1109 01, 11, 21"	Todays Classroom Schedule			1	D			18	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Open Lab	D	1131	Windows PC	11	0	Windows PC Standard & Accessibility Software			IT Service Desk 212.229.5300 x4357	"B&W Printing ProColor Printing  Plotter Printing  2 flatbed scanners: D1131-05, 07  1 Large Format Scanner: D1131-01  ADF (Automatic Document Feeder) Text Scanner: D1131-11 (with scanning for the visually impaired)"	Lab Hours		1		D			19	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	1132	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			20	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Express Stations	D	1212	Mac	0	4	Mac Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing			1		D			21	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	1613	Mac	0	1	Mac Express Software			Media Services 212.229.5300 x2310			1			D			22	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	1618	Mac	0	1	Mac Express Software	"Aux HDMI & VGA connection, HD Projector, 2x 80"" LCD, Video Conferencing*"		Media Services 212.229.5300 x2310		Todays Classroom Schedule	1			D			23	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	1621	SVGA & HDMI Only	0	0		"52in. LCD, SVGA & HDMI Only (B4 type)"		Media Services 212.229.5300 x2310						D			24	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	1645	Windows PC	1	0	Windows PC Express Software			Media Services 212.229.5300 x2310			1			D			25	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
 Classroom	D	1828	SVGA Only	0	0		"DVD, VHS, Cable Box (B1 type)"		Media Services 212.229.5300 x2310	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	D			26	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room 	D	501	SVGA Only	0	0		"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357			1			D			27	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	706	Windows PC	24	0	Windows PC Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing  Drafting Tables	Today's Classroom Schedule			1	D			28	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	605	Mac	0	20	Mac Standard Software	"HD Projector, (2) Large Flat Screen Displays"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing Photo Printing (Photo Dept. Only)	Todays Classroom Schedule	1			D			29	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	607	Mac	0	20	Mac Standard Software	"HD Projector, (8) Large Flat Screen Displays, Any station to any display"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D			30	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	602	Mac	0	20	Mac Standard Software	"(2) HD Projector, (2) Large Flat Screen Displays"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D			31	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	604	Mac	0	1	Mac Standard Software	"Flat Screen Display,  HDMI, VGA, Wireless Video Connection"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 					D			32	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	608	Mac	0	1	Mac Standard Software	"Flat Screen Display,  HDMI, VGA, Wireless Video Connection"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 					D			33	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	600	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  HDMI, VGA, Annotation"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D			34	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	601	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  HDMI, VGA, Annotation"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D			35	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	603	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  HDMI, VGA, Annotation"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D			36	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	609	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  HDMI, VGA, Annotation, LIghting Grid"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D			37	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	610	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  HDMI, VGA, Annotation, Lighting Grid"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D			38	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	611	Mac	0	1	Mac & Windows PC Standard Software	"HD Projector,  4K Flat Panel Display,  7.1 Surround Sound, HDMI, VGA, Annotation"		IT Service Desk 212.229.5300 x4357	B&W Printing Color Printing 	Todays Classroom Schedule	1			D			39	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	701	Windows PC	20	0	Windows PC Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule				D			40	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	703	Mac 	20	0	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing Photo Printing  (Photo Dpt. Only)	Today's Classroom Schedule				D			41	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	704	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			42	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	705	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			43	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	706	Windows PC	24	0	Windows PC Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing  Drafting Tables	Today's Classroom Schedule			1	D			44	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Open Lab	D	707	Windows PC	3	0	Windows PC Standard Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing  3 Large Format Scanners: D707-01 through 03	Lab Hours		1		D			45	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	708	Windows PC	24	0	Windows PC Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing  Drafting Tables	Today's Classroom Schedule			1	D			46	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	709	SVGA Only	0	0		"DVD, VHS (B1 type)"		Media Services 212.229.5300 x2310			1			D			47	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Express Stations	D	710	Windows PC	2	0	Windows PC Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing			1		D			48	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	734	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			49	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	805	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD"		IT Service Desk 212.229.5300 x4357			1		1	D			50	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	808	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD"		IT Service Desk 212.229.5300 x4357						D			51	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	809	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD"		IT Service Desk 212.229.5300 x4357						D			52	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Conference Room	D	819	Mac	0	1	Mac & Windows PC Standard Software	"65"" LCD"		IT Service Desk 212.229.5300 x4357						D			53	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Express Stations	D	900	Mac	6	0	Mac Express Software			IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing			1		D			54	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	901	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			55	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	902	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			56	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	903	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			57	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	904	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			58	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	906	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			59	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	908	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			60	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	909	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			61	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	910	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			62	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	911	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			63	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	912	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			64	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	D	913	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357	B&W Printing ProColor Printing  Plotter Printing	Today's Classroom Schedule			1	D			65	6 East 16th Street	ALBERT AND VERA LIST ACADEMIC CENTER
Classroom	E	204	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		See Lab Staff	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	E			1	25 East 13th Street	PARSONS EAST BUILDING
Classroom	E	206	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		See Lab Staff	B&W Printing ProColor Printing  Plotter Printing	Todays Classroom Schedule			1	E			2	25 East 13th Street	PARSONS EAST BUILDING
